日期,美中-平均°F,美中-最高°F,美中-平均°C,美中-最高°C,美南-平均°F,美南-最高°F,美南-平均°C,美南-最高°C,美西-平均°F,美西-最高°F,美西-平均°C,美西-最高°C,芝加哥-平均°F,芝加哥-最高°F,芝加哥-平均°C,芝加哥-最高°C,美东-平均°F,美东-最高°F,美东-平均°C,美东-最高°C
2026-05-01,61.2,66.2,16.2,19.0,64.2,68.4,17.9,20.2,65.8,79.4,18.8,26.3,42.6,46.0,5.9,7.8,53.8,64.7,12.1,18.2
2026-05-02,63.0,73.4,17.2,23.0,61.1,66.9,16.2,19.4,64.5,77.1,18.1,25.1,45.1,52.7,7.3,11.5,53.3,58.8,11.8,14.9
2026-05-03,66.9,78.5,19.4,25.8,58.7,69.5,14.8,20.8,61.8,68.3,16.6,20.2,53.0,64.2,11.7,17.9,51.1,57.7,10.6,14.3
2026-05-04,70.3,80.7,21.3,27.0,63.4,76.2,17.4,24.5,62.2,70.2,16.8,21.2,62.3,76.9,16.8,24.9,60.8,73.8,16.0,23.2
2026-05-05,76.8,87.1,24.9,30.6,68.2,78.5,20.1,25.8,62.2,70.0,16.8,21.1,54.3,59.7,12.4,15.4,71.9,84.6,22.2,29.2
2026-05-06,69.7,75.8,20.9,24.4,72.3,84.3,22.4,29.1,64.5,76.4,18.1,24.7,50.9,57.3,10.5,14.1,66.5,70.6,19.2,21.4
2026-05-07,66.2,75.1,19.0,23.9,70.6,76.1,21.4,24.5,66.7,79.8,19.3,26.6,50.1,59.8,10.1,15.4,56.9,66.7,13.8,19.3
2026-05-08,68.4,75.3,20.2,24.1,65.5,72.7,18.6,22.6,65.7,77.5,18.7,25.3,54.8,61.3,12.7,16.3,56.4,64.6,13.6,18.1
2026-05-09,74.9,85.2,23.8,29.6,67.3,77.7,19.6,25.4,66.9,81.0,19.4,27.2,61.0,74.9,16.1,23.8,57.1,66.1,13.9,18.9
2026-05-10,73.5,82.8,23.1,28.2,70.8,82.1,21.5,27.8,67.3,81.1,19.6,27.3,53.5,59.2,11.9,15.1,61.7,75.2,16.5,24.0
2026-05-11,69.7,76.8,20.9,24.9,73.0,84.2,22.8,29.0,70.4,86.5,21.3,30.3,48.5,54.1,9.2,12.3,57.4,62.3,14.1,16.8
2026-05-12,73.0,83.5,22.8,28.6,65.7,71.2,18.7,21.8,64.1,73.5,17.8,23.1,59.3,74.2,15.2,23.4,55.7,67.5,13.2,19.7
2026-05-13,77.2,89.2,25.1,31.8,67.2,77.0,19.6,25.0,64.2,73.5,17.9,23.1,53.3,65.4,11.8,18.6,62.3,75.8,16.8,24.3
2026-05-14,78.8,89.3,26.0,31.8,69.3,78.0,20.7,25.6,64.9,75.4,18.3,24.1,54.3,61.8,12.4,16.6,58.7,65.6,14.8,18.7
2026-05-15,78.8,89.0,26.0,31.7,65.4,76.8,18.6,24.9,64.9,75.9,18.3,24.4,63.2,73.0,17.3,22.8,58.2,65.9,14.6,18.8
2026-05-16,79.2,87.8,26.2,31.0,72.0,82.9,22.2,28.3,66.0,74.8,18.9,23.8,72.6,83.2,22.6,28.4,68.1,82.0,20.1,27.8
2026-05-17,79.5,87.4,26.4,30.8,76.5,85.7,24.8,29.8,66.1,74.5,18.9,23.6,76.6,86.5,24.8,30.3,79.5,90.5,26.4,32.5
2026-05-18,79.0,87.0,26.1,30.6,75.9,84.6,24.4,29.2,67.8,78.2,19.9,25.7,74.6,79.4,23.7,26.3,81.2,91.0,27.3,32.8
2026-05-19,75.7,81.9,24.3,27.7,76.7,86.1,24.8,30.1,71.7,86.9,22.1,30.5,71.7,79.9,22.1,26.6,85.2,96.6,29.6,35.9
2026-05-20,72.2,79.4,22.3,26.3,77.0,87.5,25.0,30.8,76.3,89.8,24.6,32.1,55.0,61.9,12.8,16.6,81.2,93.2,27.3,34.0
2026-05-21,72.3,78.0,22.4,25.6,76.2,85.8,24.5,29.9,71.4,84.0,21.9,28.9,52.7,56.3,11.5,13.5,60.8,67.7,16.0,19.8
2026-05-22,74.2,84.0,23.4,28.9,76.7,85.8,24.8,29.9,66.2,75.5,19.0,24.2,58.0,62.4,14.4,16.9,60.1,68.3,15.6,20.2
2026-05-23,72.8,79.3,22.6,26.3,75.8,83.8,24.3,28.8,65.4,75.2,18.6,24.0,58.7,63.1,14.8,17.3,53.4,56.8,11.9,13.8
2026-05-24,74.3,82.4,23.5,28.0,74.6,82.0,23.7,27.8,64.3,73.3,17.9,22.9,62.7,67.9,17.1,19.9,54.5,59.1,12.5,15.1
2026-05-25,76.2,85.2,24.6,29.6,75.6,82.5,24.2,28.1,64.3,73.7,17.9,23.2,69.2,78.0,20.7,25.6,63.4,72.7,17.4,22.6
2026-05-26,76.8,85.8,24.9,29.9,76.2,84.2,24.6,29.0,64.0,72.4,17.8,22.4,72.4,79.3,22.4,26.3,68.9,78.6,20.5,25.9
2026-05-27,71.6,78.6,22.0,25.9,76.9,85.3,25.0,29.6,62.1,71.0,16.7,21.7,67.9,75.1,19.9,23.9,73.0,81.0,22.8,27.2
2026-05-28,76.2,84.8,24.6,29.3,77.0,85.8,25.0,29.9,61.9,70.6,16.6,21.4,60.0,63.8,15.6,17.7,70.4,75.6,21.3,24.2
2026-05-29,80.0,88.3,26.7,31.3,75.8,83.6,24.4,28.7,64.8,73.5,18.2,23.1,66.8,78.3,19.3,25.7,68.5,78.7,20.3,25.9
2026-05-30,81.7,90.1,27.6,32.3,76.0,84.2,24.4,29.0,67.9,80.4,19.9,26.9,64.3,67.6,17.9,19.8,60.2,68.6,15.7,20.3
2026-05-31,83.0,91.6,28.3,33.1,72.9,77.5,22.7,25.3,71.3,84.7,21.8,29.3,62.2,67.8,16.8,19.9,64.2,77.4,17.9,25.2
2026-06-01,82.9,91.8,28.3,33.2,73.3,82.6,22.9,28.1,69.1,82.6,20.6,28.1,61.0,66.6,16.1,19.2,64.8,73.2,18.2,22.9
2026-06-02,81.3,90.6,27.4,32.6,72.6,79.4,22.6,26.3,67.2,78.2,19.6,25.7,63.2,69.4,17.3,20.8,65.8,76.6,18.8,24.8
2026-06-03,77.3,83.4,25.2,28.6,68.3,77.7,20.2,25.4,68.9,81.7,20.5,27.6,66.9,76.6,19.4,24.8,73.1,84.9,22.8,29.4
2026-06-04,76.8,83.7,24.9,28.7,69.9,81.3,21.1,27.4,69.5,83.4,20.8,28.6,76.3,86.2,24.6,30.1,75.6,89.0,24.2,31.7
2026-06-05,77.3,83.8,25.2,28.8,72.7,84.2,22.6,29.0,70.0,81.7,21.1,27.6,72.5,76.8,22.5,24.9,80.2,92.4,26.8,33.6
2026-06-06,78.0,86.2,25.5,30.1,75.3,85.2,24.1,29.5,69.9,81.2,21.1,27.3,71.1,80.0,21.7,26.7,79.4,91.4,26.3,33.0
2026-06-07,79.5,86.7,26.4,30.4,75.5,84.5,24.2,29.2,69.1,79.0,20.6,26.1,68.7,73.9,20.4,23.3,75.1,84.1,23.9,28.9
2026-06-08,82.4,89.8,28.0,32.1,77.1,85.2,25.1,29.5,68.0,80.1,20.0,26.7,72.1,79.3,22.3,26.3,69.2,75.7,20.7,24.3
2026-06-09,82.5,89.6,28.0,32.0,77.4,84.3,25.2,29.1,70.3,81.0,21.3,27.2,76.7,85.7,24.8,29.8,71.2,82.1,21.8,27.8
2026-06-10,83.5,91.0,28.6,32.8,79.4,88.2,26.3,31.2,74.5,88.3,23.6,31.3,75.8,87.4,24.3,30.8,77.7,87.9,25.4,31.1
2026-06-11,83.8,90.2,28.8,32.3,81.5,90.5,27.5,32.5,74.4,89.5,23.6,31.9,73.6,81.7,23.1,27.6,82.9,93.9,28.3,34.4
2026-06-12,82.3,89.2,28.0,31.8,83.2,92.9,28.4,33.8,74.5,90.1,23.6,32.3,71.0,78.7,21.7,25.9,81.7,93.5,27.6,34.2
2026-06-13,83.5,90.4,28.6,32.5,83.2,92.7,28.4,33.7,73.1,83.9,22.8,28.8,73.2,82.2,22.9,27.9,80.6,89.2,27.0,31.8
2026-06-14,80.5,86.0,26.9,30.0,80.4,92.2,26.9,33.4,72.3,84.5,22.4,29.2,65.8,70.5,18.8,21.4,81.0,91.5,27.2,33.1
2026-06-15,76.2,81.3,24.6,27.4,78.6,86.0,25.9,30.0,71.8,82.8,22.1,28.2,65.8,74.3,18.8,23.5,70.5,75.5,21.4,24.2
2026-06-16,78.3,84.0,25.7,28.9,73.8,78.1,23.2,25.6,70.3,82.5,21.3,28.1,66.8,72.7,19.3,22.6,67.5,77.9,19.7,25.5
2026-06-17,81.2,88.8,27.3,31.5,76.9,85.0,24.9,29.4,68.1,78.6,20.1,25.9,63.2,69.1,17.3,20.6,70.1,78.0,21.2,25.6
2026-06-18,84.7,93.1,29.3,33.9,77.9,86.2,25.5,30.1,66.8,74.6,19.3,23.7,66.7,70.4,19.3,21.3,77.7,88.6,25.4,31.4
2026-06-19,79.1,85.7,26.1,29.8,77.0,83.5,25.0,28.6,67.3,76.6,19.6,24.8,68.1,75.1,20.1,23.9,76.7,83.3,24.8,28.5
2026-06-20,78.4,86.5,25.8,30.3,77.0,86.3,25.0,30.2,66.3,75.0,19.1,23.9,69.5,76.6,20.8,24.8,74.8,83.6,23.8,28.7
2026-06-21,81.0,88.6,27.2,31.4,76.9,86.1,24.9,30.1,66.9,76.5,19.4,24.7,65.6,71.7,18.7,22.1,75.4,82.9,24.1,28.3
2026-06-22,84.0,92.2,28.9,33.5,78.9,87.3,26.1,30.8,69.4,81.0,20.8,27.2,62.8,66.2,17.1,19.0,72.2,76.4,22.3,24.7
2026-06-23,83.9,91.2,28.8,32.9,78.5,86.4,25.8,30.2,70.0,82.3,21.1,27.9,63.1,67.5,17.3,19.7,69.7,71.6,20.9,22.0
2026-06-24,84.5,92.2,29.1,33.4,75.8,83.7,24.3,28.7,69.9,81.3,21.1,27.4,64.2,71.0,17.9,21.7,72.8,81.9,22.7,27.7
2026-06-25,83.4,91.0,28.6,32.8,77.2,85.3,25.1,29.6,68.2,79.7,20.1,26.5,68.8,75.9,20.4,24.4,74.3,83.8,23.5,28.8
2026-06-26,85.4,93.5,29.7,34.2,79.5,89.2,26.4,31.8,68.3,79.2,20.2,26.2,63.2,64.6,17.3,18.1,74.6,82.7,23.7,28.2
2026-06-27,86.5,95.3,30.2,35.2,81.0,90.5,27.2,32.5,68.9,80.1,20.5,26.7,67.3,71.6,19.6,22.0,73.1,77.4,22.8,25.2
2026-06-28,87.2,95.8,30.7,35.4,83.7,92.9,28.7,33.8,68.7,79.1,20.4,26.2,72.1,79.8,22.3,26.6,73.5,81.0,23.1,27.2
2026-06-29,87.8,96.8,31.0,36.0,85.2,94.4,29.6,34.7,67.9,76.9,19.9,24.9,82.4,91.7,28.0,33.2,77.7,87.5,25.4,30.8
2026-06-30,86.3,94.9,30.2,34.9,84.2,92.8,29.0,33.8,67.9,73.8,19.9,23.2,86.1,93.9,30.1,34.4,81.9,90.9,27.7,32.7
2026-07-01,87.3,96.3,30.7,35.7,82.8,90.9,28.2,32.7,67.5,74.7,19.7,23.7,88.3,96.4,31.3,35.8,86.0,98.2,30.0,36.8
2026-07-02,86.4,96.5,30.2,35.8,83.2,94.0,28.4,34.4,68.5,79.8,20.3,26.6,84.5,93.4,29.2,34.1,93.5,104.4,34.2,40.2
2026-07-03,86.7,96.2,30.4,35.7,83.5,92.3,28.6,33.5,70.4,85.5,21.3,29.7,78.8,90.9,26.0,32.7,92.3,102.3,33.5,39.1
2026-07-04,88.2,98.4,31.2,36.9,83.2,93.5,28.5,34.2,71.7,85.6,22.1,29.8,74.5,82.1,23.6,27.8,86.7,96.3,30.4,35.7
2026-07-05,87.1,96.4,30.6,35.8,82.8,92.5,28.2,33.6,72.6,84.2,22.6,29.0,70.1,72.9,21.2,22.7,76.5,83.6,24.7,28.7
2026-07-06,85.9,96.3,30.0,35.8,81.9,92.8,27.7,33.8,73.2,86.9,22.9,30.5,71.2,74.4,21.8,23.6,69.0,71.5,20.6,21.9
2026-07-07,84.4,94.9,29.1,34.9,83.8,94.2,28.8,34.6,73.8,88.0,23.2,31.1,74.0,79.5,23.3,26.4,68.4,72.1,20.2,22.3
2026-07-08,85.2,94.5,29.6,34.7,85.0,94.5,29.4,34.7,74.4,89.6,23.6,32.0,79.5,88.6,26.4,31.4,74.1,84.7,23.4,29.3
2026-07-09,86.9,95.5,30.5,35.3,84.5,95.4,29.2,35.2,74.2,89.3,23.4,31.8,78.8,86.1,26.0,30.1,75.1,84.3,23.9,29.1
2026-07-10,85.6,93.2,29.8,34.0,82.4,94.1,28.0,34.5,73.8,85.8,23.2,29.9,73.5,76.6,23.1,24.8,77.6,84.8,25.3,29.3
2026-07-11,84.1,92.4,28.9,33.6,82.5,93.5,28.1,34.2,74.0,87.0,23.3,30.6,73.1,76.9,22.8,24.9,75.8,81.1,24.3,27.3
2026-07-12,82.9,93.0,28.3,33.9,80.8,91.6,27.1,33.1,74.0,83.9,23.3,28.8,76.0,81.7,24.4,27.6,75.6,83.8,24.2,28.8
2026-07-13,78.3,86.0,25.7,30.0,77.3,85.6,25.2,29.8,76.3,90.8,24.6,32.7,79.9,87.4,26.6,30.8,77.0,85.6,25.0,29.8
2026-07-14,76.9,83.9,24.9,28.8,76.3,84.2,24.6,29.0,77.8,91.6,25.4,33.1,83.7,91.3,28.7,32.9,81.9,92.2,27.7,33.4
2026-07-15,78.1,84.4,25.6,29.1,79.3,86.7,26.3,30.4,81.9,98.8,27.7,37.1,83.6,90.6,28.7,32.6,85.9,97.4,29.9,36.3
2026-07-16,80.2,88.1,26.8,31.1,80.8,90.3,27.1,32.4,82.2,97.0,27.9,36.1,81.1,86.7,27.3,30.4,83.5,94.0,28.6,34.4
